id,status,name,company_type,Type,cidade,estado,carteira,Assinatura,Novo company_type,Nova carteira
93698,inactive,Netcar Veiculos,Revenda,company,Santo André,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93699,inactive,Griffy Motors,Revenda,company,Taubaté,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93700,inactive,Lorena Automoveis,Revenda,company,Lorena,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93701,inactive,Madri,Revenda,company,Caraguatatuba,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93702,active,Jean Zimmermann Veículos,Revenda,company,Gaspar,Santa Catarina,Carteira CS - Bruna Rodrigues,ANUNCIO REVENDA _ Anual,Revendas,Diogo Ramos
93703,inactive,Comissaria De Veiculos,Revenda,company,Patos,Paraíba,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93704,inactive,Mailson Veiculos,Revenda,company,Campina Grande,Paraíba,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93705,inactive,Vicmotors Comércio de Veículos,Revenda,company,Barueri,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93706,inactive,Auto Giro Multimarcas,Revenda,company,Curitiba,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93707,inactive,Lancer Veirculos,Revenda,company,Várzea Grande,Mato Grosso,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93708,inactive,Faisão Veiculos,Revenda,company,Portão,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93709,inactive,Speed Moto Center,Revenda,company,São José,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93710,inactive,Vip Veiculos,Revenda,company,Uberaba,Minas Gerais,Carteira CS - Rita Moregola,#N/A,Revendas,Diogo Ramos
93711,inactive,Facilita Carros,Revenda,company,Curitiba,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93712,inactive,Plus Car Cidade Nova,Revenda,company,Belo Horizonte,Minas Gerais,Carteira UsadosBR,#N/A,Concessionárias,
93713,inactive,Renacar,Revenda,company,Nova Iguaçu,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93714,inactive,Visual Veiculos,Revenda,company,Mauá,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93715,inactive,Paraiba Veiculos,Revenda,company,Campina Grande,Paraíba,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93716,inactive,Atual Veículos,Revenda,company,Garibaldi,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93717,inactive,Ale Veiculos,Revenda,company,Garibaldi,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93718,inactive,Prime Automoveis,Revenda,company,São José,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93719,inactive,Andriani Veiculos,Revenda,company,Ribeirão Preto,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93720,inactive,Brasil Carros E Negocios,Revenda,company,Campo Grande,Mato Grosso do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93721,inactive,Goias Automoveis,Revenda,company,Palmas,Tocantins,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
